Function,Best,FDO,GA,DA,SSA
FM,FDO,9.62200136048082,12.8473337162484,22.5852425936484,15.8854676196827
F1,FDO,2.18333816256568e-34,6.03653394639772e-07,9.25392163221743,9.7033417466442e-10
F2,FDO,8.71744266113597e-28,9.13337317465663e-05,1.36208279014566,0.00242855564517994
F3,FDO,3.32972243257476e-14,1.24481401340747e-05,360.550050422395,2.41116425530342e-07
F4,FDO,7.67266728815168e-13,0.0169384018373897,3.26737010111631,2.2056971648956e-05
F5,GA,1.12892982494379,1.08151289260024,922.604090112151,19.6585236353599
F6,FDO,2.43437544970547e-32,6.50342873759567e-07,13.047233890441,7.54464331603196e-10
F7,SSA,0.515758348059777,0.0169010221982547,0.0249372233681673,0.0111593813768034
F8,DA,-2767.38996687426,-454.490466351391,-2835.80573987868,-2776.3354669382
F9,GA,2.05448259475713,1.38005769040698e-06,31.3546769067668,14.6922067162733
F10,FDO,6.57252030578093e-15,6.90263222409134e-05,2.55802198252451,0.927546288956604
F11,GA,0.0821511970898599,0.0147636267471402,0.648414358270401,0.217642896530044
F12,FDO,1.99604405473413e-06,0.0207362674196163,1.66567604199575,0.501889613908249
F13,SSA,0.00361927863328928,0.00439683224881433,1.19150849354148,0.00146498232168177
F14,DA,1.52605883035694,11.812766393107,1.2291544922963,1.29555393881681
F15,FDO,0.000321961346060799,0.00262049018068589,0.00544836053730323,0.00221552259801935
F16,SSA,-1.03162845339916,-1.00442296322592,-1.03162834870228,-1.03162845348985
F17,SSA,0.397887357731812,0.39788735849525,0.397887501891209,0.397887357729802
F18,SSA,3.00000000002093,10.2001587921204,3.00000500273345,3.00000000000014
F19,SSA,-3.86273210265044,-3.69008139518797,-3.86262909892495,-3.86278214782002
F20,FDO,-3.32195974533768,-3.23480639887235,-3.21982306749714,-3.22419215734692
F21,FDO,-9.98164315727567,-5.02687893617053,-7.09560947601831,-7.55954494575469
F22,FDO,-10.223215883646,-5.55951079441181,-6.80765748359277,-7.62726571616187
F23,FDO,-9.95082138659463,-4.74239062735077,-7.68259653752077,-7.57751741383082
cec01,GA,63739431.3620135,39991.5248076582,56320372398.2123,7144013504.88941
cec02,FDO,17.3428571445026,17.3430689693396,91.8044567327666,17.3450428643098
cec03,FDO,12.7024042179901,12.7024042752063,12.7027861544247,12.7025565163482
cec04,FDO,31.2738874803935,1056.01106576546,439.542360330414,39.201181937713
cec05,FDO,1.10879117957326,5.07724223621281,1.63805751822449,1.25967107318894
cec06,GA,8.96101868230611,3.28102139035177,9.55787529628394,5.28578172116108
cec07,FDO,24.707160169697,110.103994714438,599.95047457147,368.923636632039
cec08,FDO,4.21348507257618,4.73945497531416,5.83489559904299,5.15841088294096
cec09,FDO,2.4021116720688,2.92972404421978,4.09152889633547,2.66603302259257
cec10,FDO,17.3975316871107,19.9921169282178,20.2550259720275,19.3479721825128
